Code,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Colour,Standard Qty,Type,remark
Z01A2694,150mm Dia x 45mm 800W 240V Mica Heater Band + 100cm Lead,150mm,Dia,x,45mm,800W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2695,75mm Dia x 54mm 350W 240V Mica Heater Band + 100cm Lead,75mm,Dia,x,54mm,350W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2696,38mm Dia x 38mm 225W 240V Mica Heater Band + 100cm Lead,38mm,Dia,x,38mm,225W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2697,70mm Dia x 100mm 900W 230V Mica Heater Band + 100cm Lead,70mm,Dia,x,100mm,900W,230V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2698,50mm Dia x 38mm 600W 230V Mica Heater Band + 100cm Lead,50mm,Dia,x,38mm,600W,230V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2699,25mm Dia x 38mm 150W 240V Mica Heater Band,25mm,Dia,x,38mm,150W,240V,Mica,Heater,Band,,,,,,,,,-,1,-,-
Z01A2700,90mm Dia x 136mm 2250W 235V Ceramic Heater Band,90mm,Dia,x,136mm,2250W,235V,Ceramic,Heater,Band,,,,,,,,,-,1,-,-
Z01A2701,90mm Dia x 136mm 1500W 235V Ceramic Heater Band,90mm,Dia,x,136mm,1500W,235V,Ceramic,Heater,Band,,,,,,,,,-,1,-,-
Z01A2702,90mm Dia x 94mm 1200W 235V Ceramic Heater Band,90mm,Dia,x,94mm,1200W,235V,Ceramic,Heater,Band,,,,,,,,,-,1,-,-
Z01A2703,160mm Dia x 205mm 3600W 230/400V Mica Heater Band + 100cm Le,160mm,Dia,x,205mm,3600W,230/400V,Mica,Heater,Band,+,100cm,Le,,,,,,-,1,-,-
Z01A2704,160mm Dia x 145mm 2500W 230V Mica Heater Band + 100cm Lead,160mm,Dia,x,145mm,2500W,230V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2705,235mm Dia x 110mm 2800W 230/400V Mica Heater Band + 100cm Le,235mm,Dia,x,110mm,2800W,230/400V,Mica,Heater,Band,+,100cm,Le,,,,,,-,1,-,-
Z01A2706,150mm Dia x 90mm 1500W 240V Mica Heater Band + 100cm Lead,150mm,Dia,x,90mm,1500W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2707,220mm Dia x 323mm 7600W 400V(2PH) Mica Heater Band + 100cm L,220mm,Dia,x,323mm,7600W,400V(2PH),Mica,Heater,Band,+,100cm,L,,,,,,-,1,-,-
Z01A2708,220mm Dia x 323mm 7600W 400V(2PH) Mica Heater Band + 100cm L,220mm,Dia,x,323mm,7600W,400V(2PH),Mica,Heater,Band,+,100cm,L,,,,,,-,1,-,-
Z01A2709,105mm Dia x 90mm 700W 400V(2PH) Mica Heater Band + 100cm Lea,105mm,Dia,x,90mm,700W,400V(2PH),Mica,Heater,Band,+,100cm,Lea,,,,,,-,1,-,-
Z01A2710,245mm Dia x 248mm 6000W 400V(2PH) Mica Heater + 100cm Lead,245mm,Dia,x,248mm,6000W,400V(2PH),Mica,Heater,+,100cm,Lead,,,,,,,-,1,-,-
Z01A2711,245mm Dia x 346mm 6000W 400V(2PH) Mica Heater Band + 100cm L,245mm,Dia,x,346mm,6000W,400V(2PH),Mica,Heater,Band,+,100cm,L,,,,,,-,1,-,-
